txt_r1,txt_r5,txt_r10,txt_r_mean,img_r1,img_r5,img_r10,img_r_mean,r_mean,agg_metrics,model_size,visual_encoder_block_modules,visual_encoder_block_indices,visual_encoder_block_weight_bits,qformer_layer_indices,qformer_self_attention_modules,qformer_self_attention_weight_bits,qformer_cross_attention_modules,qformer_cross_attention_weight_bits,qformer_text_ff_modules,qformer_text_ff_weight_bits,qformer_img_ff_modules,qformer_img_ff_weight_bits,job_batch,vit_attn,vit_ff,vit_front_blocks,vit_middle_blocks,vit_end_blocks,vit_weight_bits,qformer_front_blocks,qformer_middle_blocks,qformer_end_blocks,qformer_self_attn,qformer_cross_attn,qformer_text_ff,qformer_img_ff,qformer_weight_bits,Quantized Portion
0.0,0.4,0.8,0.4000000000000001,0.14,0.46,0.88,0.49333333333333335,0.4466666666666667,0.4000000000000001,3746.156724,"['qkv', 'proj']","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38]",2.0,"[0, 1, 2, 3, 8, 9, 10, 11]","['query', 'key', 'value', 'dense']",2.0,"['query', 'key', 'value', 'dense']",2.0,"['intermediate', 'output']",2.0,,2.0,nbit_flickr_4_2,True,False,True,False,True,2.0,True,False,True,True,True,True,False,2.0,ViT + Q-Former
0.0,0.4,0.8,0.4000000000000001,0.14,0.52,0.86,0.5066666666666667,0.45333333333333337,0.4000000000000001,665.764404,"['qkv', 'proj', 'fc1', 'fc2']","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38]",2.0,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]",,2.0,,2.0,"['intermediate', 'output']",2.0,"['intermediate_query', 'output_query']",2.0,nbit_flickr_4_2,True,True,True,True,True,2.0,True,True,True,False,False,True,True,2.0,ViT + Q-Former
0.0,0.4,0.9,0.43333333333333335,0.08,0.46,0.98,0.5066666666666667,0.47000000000000003,0.43333333333333335,2200.196724,"['qkv', 'proj', 'fc1', 'fc2']","[13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38]",2.0,"[4, 5, 6, 7, 8, 9, 10, 11]","['query', 'key', 'value', 'dense']",2.0,"['query', 'key', 'value', 'dense']",2.0,,2.0,,2.0,nbit_flickr_4_2,True,True,False,True,True,2.0,False,True,True,True,True,False,False,2.0,ViT + Q-Former
0.0,0.5,0.8,0.43333333333333335,0.12,0.48,1.16,0.5866666666666666,0.51,0.43333333333333335,3480.878004,"['qkv', 'proj', 'fc1', 'fc2']","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]",2.0,"[0, 1, 2, 3]",,2.0,,2.0,,2.0,"['intermediate_query', 'output_query']",2.0,nbit_flickr_4_2,True,True,True,False,False,2.0,True,False,False,False,False,False,True,2.0,ViT + Q-Former
0.0,0.5,0.8,0.43333333333333335,0.12,0.56,1.24,0.64,0.5366666666666666,0.43333333333333335,3420.351924,"['qkv', 'proj', 'fc1', 'fc2']","[13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25]",2.0,"[4, 5, 6, 7]","['query', 'key', 'value', 'dense']",2.0,"['query', 'key', 'value', 'dense']",2.0,"['intermediate', 'output']",2.0,,2.0,nbit_flickr_4_2,True,True,False,True,False,2.0,False,True,False,True,True,True,False,2.0,ViT + Q-Former
0.0,0.5,0.9,0.4666666666666666,0.16,0.5,0.98,0.5466666666666667,0.5066666666666667,0.4666666666666666,3551.714484,"['qkv', 'proj', 'fc1', 'fc2']","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]",2.0,"[0, 1, 2, 3]",,2.0,,2.0,,2.0,,2.0,nbit_flickr_4_2,True,True,True,False,False,2.0,True,False,False,False,False,False,False,2.0,ViT + Q-Former
0.0,0.5,0.9,0.4666666666666666,0.16,0.5,0.98,0.5466666666666667,0.5066666666666667,0.4666666666666666,3551.714484,"['qkv', 'proj', 'fc1', 'fc2']","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]",2.0,,,,,,,,,,nbit_vit,True,True,True,False,False,2.0,False,False,False,False,False,False,False,,ViT
0.0,0.5,1.0,0.5,0.02,0.54,1.02,0.5266666666666667,0.5133333333333334,0.5,2831.822004,"['fc1', 'fc2']","[13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38]",2.0,"[4, 5, 6, 7, 8, 9, 10, 11]","['query', 'key', 'value', 'dense']",2.0,"['query', 'key', 'value', 'dense']",2.0,"['intermediate', 'output']",2.0,,2.0,nbit_flickr_4_2,False,True,False,True,True,2.0,False,True,True,True,True,True,False,2.0,ViT + Q-Former
0.0,0.5,1.0,0.5,0.26,0.84,1.44,0.8466666666666667,0.6733333333333333,0.5,3480.878004,"['qkv', 'proj', 'fc1', 'fc2']","[26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38]",2.0,"[8, 9, 10, 11]",,2.0,,2.0,"['intermediate', 'output']",2.0,,2.0,nbit_flickr_4_2,True,True,False,False,True,2.0,False,False,True,False,False,True,False,2.0,ViT + Q-Former
0.0,0.6,0.9,0.5,0.2,0.68,1.1,0.66,0.5800000000000001,0.5,3480.878004,"['qkv', 'proj', 'fc1', 'fc2']","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]",2.0,"[0, 1, 2, 3]",,2.0,,2.0,"['intermediate', 'output']",2.0,,2.0,nbit_flickr_4_2,True,True,True,False,False,2.0,True,False,False,False,False,True,False,2.0,ViT + Q-Former
